chan_id,spacecraft,anomaly_class,epochs_run,lstm_best_precision,lstm_best_recall,lstm_best_f1,lstm_best_threshold,lstm_k3_precision,lstm_k3_recall,lstm_k3_f1,note
P-1,SMAP,"[contextual, contextual, contextual]",83,0.6856,1.0,0.8135,p99,0.5697,1.0,0.7259,ok
S-1,SMAP,[point],57,0.7401,1.0,0.8506,p99,0.5775,1.0,0.7322,ok
E-1,SMAP,"[contextual, contextual]",38,0.8956,1.0,0.9449,p99,0.7882,1.0,0.8815,ok
E-2,SMAP,[point],46,1.0,1.0,1.0,k3.5,0.9964,1.0,0.9982,ok
E-3,SMAP,[point],100,1.0,1.0,1.0,k1.0,1.0,1.0,1.0,ok
E-4,SMAP,[point],100,0.9801,1.0,0.99,k4.0,0.9574,1.0,0.9782,ok
E-5,SMAP,[point],31,1.0,1.0,1.0,k2.5,1.0,1.0,1.0,ok
E-6,SMAP,[point],35,0.9286,1.0,0.963,p99,0.2664,1.0,0.4207,ok
E-7,SMAP,[point],61,0.7609,1.0,0.8642,k4.0,0.6208,1.0,0.7661,ok
E-8,SMAP,[point],52,0.4673,1.0,0.637,k4.0,0.4418,1.0,0.6128,ok
E-9,SMAP,[point],63,0.9777,1.0,0.9887,p99,0.677,1.0,0.8074,ok
E-10,SMAP,"[contextual, contextual]",43,0.7767,1.0,0.8743,p99,0.6667,1.0,0.8,ok
E-11,SMAP,"[contextual, contextual]",30,0.9734,1.0,0.9865,p99,0.6221,1.0,0.767,ok
E-12,SMAP,"[contextual, contextual]",35,0.9164,1.0,0.9564,p99,0.7685,1.0,0.8691,ok
E-13,SMAP,"[contextual, contextual, contextual]",80,0.6304,1.0,0.7733,k4.0,0.5892,1.0,0.7415,ok
A-1,SMAP,[point],21,0.0098,1.0,0.0194,k1.0,0.0098,1.0,0.0194,ok
D-1,SMAP,[point],31,0.9876,1.0,0.9937,p99,0.9778,1.0,0.9888,ok
P-2,SMAP,[point],56,0.8942,1.0,0.9441,k4.0,0.7986,1.0,0.888,ok
P-3,SMAP,[point],91,0.9993,1.0,0.9996,k3.0,0.9993,1.0,0.9996,ok
D-2,SMAP,[point],22,0.996,1.0,0.998,k1.0,0.996,1.0,0.998,ok
D-3,SMAP,[point],48,0.8323,1.0,0.9085,k4.0,0.8306,1.0,0.9075,ok
D-4,SMAP,[point],100,0.9982,1.0,0.9991,k4.0,0.9942,1.0,0.9971,ok
A-2,SMAP,[contextual],92,0.3583,1.0,0.5276,p99,0.234,1.0,0.3793,ok
A-3,SMAP,[contextual],30,0.8079,1.0,0.8937,k4.0,0.7371,1.0,0.8486,ok
A-4,SMAP,[contextual],46,0.8397,1.0,0.9129,k4.0,0.7143,1.0,0.8333,ok
G-1,SMAP,[contextual],28,0.7947,1.0,0.8856,k1.0,0.0,0.0,0.0,ok
G-2,SMAP,[point],22,0.597,1.0,0.7477,k1.0,0.597,1.0,0.7477,ok
D-5,SMAP,[point],100,0.0066,1.0,0.0131,k1.0,0.0066,1.0,0.0131,ok
D-6,SMAP,[point],59,1.0,1.0,1.0,k1.0,1.0,1.0,1.0,ok
D-7,SMAP,[point],23,0.9996,1.0,0.9998,k1.0,0.9996,1.0,0.9998,ok
F-1,SMAP,[point],38,0.5,1.0,0.6667,p99,0.2899,1.0,0.4494,ok
P-4,SMAP,"[point, point, point]",22,0.8907,1.0,0.9422,k1.0,0.8907,1.0,0.9422,ok
G-3,SMAP,[point],21,1.0,1.0,1.0,k2.0,1.0,1.0,1.0,ok
T-1,SMAP,"[point, contextual]",100,0.2537,1.0,0.4047,p99,0.2502,1.0,0.4003,ok
T-2,SMAP,[point],91,0.4402,1.0,0.6113,p99,0.3664,1.0,0.5363,ok
D-8,SMAP,[point],22,0.8772,1.0,0.9346,k1.0,0.8772,1.0,0.9346,ok
D-9,SMAP,[point],22,1.0,1.0,1.0,k1.0,1.0,1.0,1.0,ok
F-2,SMAP,[point],62,0.9866,1.0,0.9933,p99,0.9378,1.0,0.9679,ok
G-4,SMAP,[point],100,0.2542,1.0,0.4054,p99,0.1056,1.0,0.1911,ok
T-3,SMAP,"[point, point]",98,0.0753,1.0,0.1401,k4.0,0.0618,1.0,0.1163,ok
D-11,SMAP,[point],45,1.0,1.0,1.0,k1.0,1.0,1.0,1.0,ok
D-12,SMAP,[point],31,0.9996,1.0,0.9998,k1.0,0.9996,1.0,0.9998,ok
B-1,SMAP,[point],22,0.0235,1.0,0.0458,k1.0,0.0235,1.0,0.0458,ok
G-6,SMAP,[point],65,0.0157,1.0,0.0309,p99,0.0136,1.0,0.0268,ok
G-7,SMAP,"[contextual, point, contextual]",56,0.8494,1.0,0.9185,k4.0,0.8466,1.0,0.917,ok
P-7,SMAP,[contextual],93,0.9839,1.0,0.9919,k4.0,0.9769,1.0,0.9883,ok
R-1,SMAP,[point],22,0.0111,1.0,0.022,k1.0,0.0111,1.0,0.022,ok
A-5,SMAP,[point],100,0.0207,1.0,0.0405,k4.0,0.0206,1.0,0.0404,ok
A-6,SMAP,[point],78,0.8889,1.0,0.9412,p99,0.0214,1.0,0.0418,ok
A-7,SMAP,[contextual],65,0.8772,1.0,0.9346,k4.0,0.849,1.0,0.9183,ok
D-13,SMAP,[point],23,0.0617,1.0,0.1162,k1.0,0.0617,1.0,0.1162,ok
P-2,SMAP,[point],43,0.5846,1.0,0.7378,k4.0,0.4902,1.0,0.6579,ok
A-8,SMAP,[contextual],37,0.9439,1.0,0.9712,k1.0,0.0,0.0,0.0,ok
A-9,SMAP,[contextual],32,0.4665,1.0,0.6362,p99,0.0,0.0,0.0,ok
F-3,SMAP,[contextual],51,0.0154,1.0,0.0303,p99,0.0112,1.0,0.0222,ok
M-6,MSL,[point],23,0.1732,1.0,0.2953,k1.0,0.1732,1.0,0.2953,ok
M-1,MSL,[contextual],100,0.9794,1.0,0.9896,p99,0.971,1.0,0.9853,ok
M-2,MSL,[contextual],100,0.9836,1.0,0.9917,k1.5,0.9836,1.0,0.9917,ok
S-2,MSL,[point],22,0.2,1.0,0.3333,k1.0,0.2,1.0,0.3333,ok
P-10,MSL,[point],24,0.0858,1.0,0.158,k4.0,0.0853,1.0,0.1572,ok
T-4,MSL,[point],52,0.6667,1.0,0.8,p99,0.3091,1.0,0.4722,ok
T-5,MSL,[point],23,0.3205,1.0,0.4854,k1.0,0.3205,1.0,0.4854,ok
F-7,MSL,"[contextual, contextual, contextual]",67,0.6885,1.0,0.8155,k4.0,0.6186,1.0,0.7643,ok
M-3,MSL,[contextual],59,0.969,1.0,0.9843,p99,0.8834,1.0,0.9381,ok
M-4,MSL,[contextual],52,0.8681,1.0,0.9294,p99,0.7886,1.0,0.8818,ok
M-5,MSL,[contextual],63,0.9585,1.0,0.9788,p99,0.9554,1.0,0.9772,ok
P-15,MSL,[point],58,0.0136,1.0,0.0268,k4.0,0.0135,1.0,0.0266,ok
C-1,MSL,"[point, contextual]",100,0.981,1.0,0.9904,k3.0,0.981,1.0,0.9904,ok
C-2,MSL,"[point, contextual]",21,0.0771,1.0,0.1432,k1.0,0.0771,1.0,0.1432,ok
T-12,MSL,[contextual],98,0.9677,1.0,0.9836,k3.0,0.9677,1.0,0.9836,ok
T-13,MSL,"[contextual, contextual]",37,0.8865,1.0,0.9398,k4.0,0.7911,1.0,0.8834,ok
F-4,MSL,[point],100,0.7955,1.0,0.8861,k4.0,0.7692,1.0,0.8696,ok
F-5,MSL,[point],100,0.9677,1.0,0.9836,k4.0,0.9615,1.0,0.9804,ok
D-14,MSL,"[point, point]",21,0.7666,1.0,0.8679,k1.0,0.7666,1.0,0.8679,ok
T-9,MSL,"[point, point]",25,0.4044,1.0,0.5759,k4.0,0.3526,1.0,0.5213,ok
P-14,MSL,[point],23,0.0298,1.0,0.0579,k1.0,0.0298,1.0,0.0579,ok
T-8,MSL,"[contextual, contextual]",23,0.8475,1.0,0.9174,k1.0,0.8475,1.0,0.9174,ok
P-11,MSL,"[point, point]",77,0.7063,1.0,0.8278,p99,0.5664,1.0,0.7232,ok
D-15,MSL,[point],26,0.9922,1.0,0.9961,p99,0.9453,1.0,0.9719,ok
D-16,MSL,[contextual],31,1.0,1.0,1.0,k2.5,1.0,1.0,1.0,ok
M-7,MSL,[point],43,0.9709,1.0,0.9852,k3.5,0.9615,1.0,0.9804,ok
F-8,MSL,[contextual],34,0.942,1.0,0.9701,p99,0.91,1.0,0.9529,ok
